lobbying_firm,lobbied_client,lobbyist,former_role,current_committee_members,attack_press_releases,committee_members_attacking,income
TODD STRATEGY GROUP,APOLLO GLOBAL MANAGEMENT,DANIEL TODD,"Senior Health Counsel, Senate Finance Committee; Special Assistant, Office of Admin. Ct. - Medicare & Medicaid",53,11,2,60000.0
TODD STRATEGY GROUP,APOLLO GLOBAL MANAGEMENT,DANIEL TODD,"Senior Health Counsel, Senate Finance Committee",53,11,2,60000.0
"RUTLEDGE POLICY GROUP, LLC",APOLLO GLOBAL MANAGEMENT. INC.,PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration; Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,60000.0
TODD STRATEGY GROUP,APOLLO GLOBAL MANAGEMENT,DANIEL TODD,"Senior Health Counsel, Senate Finance Committee; Special Assistant, Office of Amin Ctr. Medicare & Medicaid",53,11,2,60000.0
TODD STRATEGY GROUP,APOLLO GLOBAL MANAGEMENT,DANIEL TODD,"Senior Health Counsel, Senate Finance Committee; Special Assistant, Office of Admin. Ctr. - Medicare & Medicaid",53,11,2,60000.0
TODD STRATEGY GROUP,APOLLO GLOBAL MANAGEMENT,DANIEL TODD,"Senior Health Counsel, Senate Finance Committee; Special Assistant, Office of Admin. Ct. - Medicare & Medicaid",53,11,2,60000.0
TODD STRATEGY GROUP,APOLLO GLOBAL MANAGEMENT,DANIEL TODD,"Senior Health Counsel, Senate Finance Committee",53,11,2,60000.0
TODD STRATEGY GROUP,APOLLO GLOBAL MANAGEMENT,DANIEL TODD,"Senior Health Counsel, Senate Finance Committee; Special Assistant, Office of Amin Ctr. Medicare & Medicaid",53,11,2,60000.0
TODD STRATEGY GROUP,APOLLO GLOBAL MANAGEMENT,DANIEL TODD,"Senior Health Counsel, Senate Finance Committee",53,11,2,60000.0
TODD STRATEGY GROUP,APOLLO GLOBAL MANAGEMENT,DANIEL TODD,"Senior Health Counsel, Senate Finance Committee; Special Assistant, Office of Admin. Ct. - Medicare & Medicaid",53,11,2,60000.0
"RUTLEDGE POLICY GROUP, LLC",APOLLO GLOBAL MANAGEMENT. INC.,PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration; Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,40000.0
"RUTLEDGE POLICY GROUP, LLC",APOLLO GLOBAL MANAGEMENT. INC.,PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,40000.0
"RUTLEDGE POLICY GROUP, LLC",APOLLO GLOBAL MANAGEMENT. INC.,PRESTON RUTLEDGE,"Assistant Secretary of Labor, Employee Benefits Security Administration; Senior Tax and Benefits Counsel, Senate Committee on Finance",53,11,2,40000.0
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration; Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration; Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,"Assistant Secretary of Labor, Employee Benefits Security Administration; Senior Tax and Benefits Counsel, Senate Committee on Finance",53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration; Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC",APOLLO GLOBAL MANAGEMENT. INC.,PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration; Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration; Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,"Assistant Secretary of Labor, Employee Benefits Security Administration; Senior Tax and Benefits Counsel, Senate Committee on Finance",53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,"Assistant Secretary of Labor, Employee Benefits Security Administration; Senior Tax and Benefits Counsel, Senate Committee on Finance",53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,"Assistant Secretary of Labor, Employee Benefits Security Administration; Senior Tax and Benefits Counsel, Senate Committee on Finance",53,11,2,
"RUTLEDGE POLICY GROUP, LLC",APOLLO GLOBAL MANAGEMENT. INC.,PRESTON RUTLEDGE,"Assistant Secretary of Labor, Employee Benefits Security Administration; Senior Tax and Benefits Counsel, Senate Committee on Finance",53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,"Assistant Secretary of Labor, Employee Benefits Security Administration; Senior Tax and Benefits Counsel, Senate Committee on Finance",53,11,2,
"RUTLEDGE POLICY GROUP, LLC",APOLLO GLOBAL MANAGEMENT. INC.,PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration; Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
"RUTLEDGE POLICY GROUP, LLC","BROWNSTEIN (BHFS, LLP) OBO APOLLO GLOBAL MANAGEMENT",PRESTON RUTLEDGE,Assistant Secretary of Labor - Employee Benefits Security Administration Senior Tax and Benefits Counsel - Senate Finance Committee,53,11,2,
